time_s,gnss_2d,gnss_3d,fusion_2d,fusion_3d
1.650000000000000000e+01,1.013399949270423583e+01,4.072932006081514089e+01,8.182441855325691904e+00,9.898402448106013551e+00
1.659999990463256836e+01,1.011443620926763209e+01,4.077041306710418667e+01,7.581987055763363514e+00,9.177048154884900555e+00
1.669999980926513672e+01,1.010977699334588031e+01,4.076383353718228619e+01,7.603730911736705345e+00,9.472628531057056378e+00
1.679999995231628418e+01,9.961038868065969609e+00,4.069846435880860724e+01,7.105829924751582816e+00,8.088589123173024475e+00
1.689999985694885254e+01,9.936529827657086145e+00,4.067078162445265832e+01,8.004845338056057358e+00,9.254588653905452489e+00
1.700000000000000000e+01,9.912470196853522708e+00,4.066141266071739580e+01,7.575746290040065389e+00,8.440662471740326467e+00
1.709999990463256836e+01,9.899015275391228386e+00,4.063707454850323586e+01,7.600077398713352750e+00,8.797866768200204746e+00
1.719999980926513672e+01,9.905188490091575204e+00,4.063124849728421140e+01,6.894903816409007291e+00,8.296017916779788948e+00
1.729999995231628418e+01,9.914687076532263887e+00,4.060569962431178226e+01,8.391088405181406529e+00,9.952322444341467289e+00
1.739999985694885254e+01,9.989762380695554000e+00,4.059036231301852382e+01,8.309208538822245416e+00,9.751635576327577937e+00
1.750000000000000000e+01,9.978296855459866777e+00,4.054471186309245212e+01,8.039010151308117358e+00,9.292504310083090857e+00
1.759999990463256836e+01,9.984300928867073210e+00,4.056116417740733482e+01,8.399955106516227232e+00,1.011149806945007334e+01
1.769999980926513672e+01,9.859481071727529411e+00,4.063012495123705037e+01,7.443399227361336301e+00,8.476576992828610102e+00
1.779999995231628418e+01,9.786897361464065526e+00,4.057714196237006377e+01,6.884255922561540508e+00,7.473691125496681131e+00
1.789999985694885254e+01,9.795547653425140666e+00,4.047844331952731523e+01,6.456742591282145227e+00,6.564157646867607276e+00
1.800000000000000000e+01,9.809432097424931385e+00,4.041681715812190134e+01,6.363416325710383070e+00,7.255159199663508751e+00
1.809999990463256836e+01,9.844931960267818027e+00,4.042881294281474425e+01,6.359056899043745048e+00,6.545391258421257241e+00
1.819999980926513672e+01,9.779546228486962534e+00,4.038450341871865845e+01,6.388414526722443476e+00,6.705416790331113042e+00
1.829999995231628418e+01,9.767763108243284975e+00,4.042918271633889304e+01,6.200370203663314150e+00,6.207134974782380077e+00
1.839999985694885254e+01,9.805910368279795009e+00,4.050322221888112040e+01,7.205989728516849269e+00,8.516439152053919770e+00
1.850000000000000000e+01,9.822139969402478243e+00,4.047910400524836660e+01,7.009446157678675959e+00,7.559575325899214882e+00
1.859999990463256836e+01,9.923164455446887189e+00,4.057075513478568496e+01,6.371515746598030105e+00,7.353942841888824411e+00
1.869999980926513672e+01,1.002253444978318164e+01,4.059795037152710506e+01,7.075017510183766234e+00,8.102056108535741430e+00
1.879999995231628418e+01,9.947283687246763151e+00,4.057064875459101216e+01,7.894567391442442350e+00,9.445799669270231291e+00
1.889999985694885254e+01,1.003324914331076911e+01,4.065831045665824917e+01,7.320462002415585978e+00,9.351742311502022176e+00
1.900000000000000000e+01,9.995339546101575934e+00,4.065568088942132619e+01,7.702848077595790599e+00,9.169711059360116323e+00
1.909999990463256836e+01,1.008567939729230467e+01,4.070161860209140769e+01,7.894640854421160370e+00,9.553976220588619839e+00
1.919999980926513672e+01,1.006087903378881698e+01,4.068011591680347294e+01,7.980194442659900744e+00,9.583269433772091617e+00
1.929999995231628418e+01,1.011254980771631828e+01,4.078393540299634878e+01,8.027344241574743577e+00,9.843367221375553200e+00
1.939999985694885254e+01,1.014540898093718013e+01,4.078946041763870056e+01,8.041932080353856094e+00,1.008862307084503307e+01
1.950000000000000000e+01,1.024995454304335141e+01,4.082801162242986237e+01,8.395435669929307565e+00,1.086743590987839703e+01
1.959999990463256836e+01,1.023334189599508903e+01,4.084313668530092656e+01,7.238935072378131608e+00,1.038224837455336313e+01
1.969999980926513672e+01,1.030215179511570156e+01,4.089002019372788510e+01,7.779402838343028925e+00,9.753233940239082855e+00
1.979999995231628418e+01,1.029807363625342020e+01,4.085183882394117916e+01,8.133848531896401113e+00,1.048244458560663084e+01
1.989999985694885254e+01,1.032536833680280175e+01,4.088903438588450001e+01,7.562203916611299093e+00,9.384970740760762098e+00
2.000000000000000000e+01,1.033653468102476758e+01,4.089616599878416281e+01,8.013858158262584297e+00,9.958138754991059827e+00
2.009999990463256836e+01,1.032755213751529411e+01,4.084790524672666123e+01,8.363745206762882134e+00,1.072709728090240588e+01
2.019999980926513672e+01,1.044200083753748487e+01,4.092254142001252148e+01,8.082077889068774113e+00,9.569755772116197434e+00
2.029999995231628418e+01,1.047734976863914724e+01,4.088101580861175677e+01,7.718507320117621084e+00,9.703210735886720784e+00
2.039999985694885254e+01,1.054305843442263324e+01,4.092643410889586875e+01,8.550057514989847007e+00,1.009069590758424617e+01
2.050000000000000000e+01,1.063343559945429995e+01,4.087761210497873066e+01,8.669278432588409800e+00,1.018401823700124531e+01
2.059999990463256836e+01,1.063397164318888777e+01,4.076799775752368049e+01,7.834878269638178239e+00,1.002447936148778318e+01
2.069999980926513672e+01,1.066148218697751027e+01,4.075426200405065913e+01,8.232774945985594783e+00,1.002298827582567675e+01
2.079999995231628418e+01,1.068660777361169956e+01,4.080762884045398664e+01,8.537388277254814639e+00,1.026532979031790482e+01
2.089999985694885254e+01,1.075717341525460213e+01,4.084991808146138936e+01,7.641396960195272037e+00,9.333361903423183392e+00
2.100000000000000000e+01,1.088505349571631164e+01,4.092231211717344763e+01,8.257675952352624194e+00,9.765176523886994531e+00
2.109999990463256836e+01,1.087663524671174820e+01,4.088567007924478958e+01,9.562998619611789763e+00,1.220624039780679304e+01
2.119999980926513672e+01,1.082213323683479977e+01,4.083123606171152176e+01,9.305236248476889571e+00,1.125394039253952627e+01
2.129999995231628418e+01,1.084741013553818156e+01,4.084953734853930030e+01,9.069667458447554509e+00,1.156506724725774404e+01
2.139999985694885254e+01,1.079149363240832926e+01,4.083793219728558910e+01,9.188687065512027630e+00,1.109135963255279478e+01
2.150000000000000000e+01,1.081218822651631228e+01,4.089568663427748874e+01,8.990077093374104322e+00,1.048423904886978875e+01
2.159999990463256836e+01,1.074575860158001817e+01,4.088671402867637994e+01,8.291084108058218050e+00,1.038428922806256516e+01
2.169999980926513672e+01,1.081352424567424997e+01,4.074450616437396633e+01,8.724533736082351609e+00,1.066072258037745968e+01
2.179999995231628418e+01,1.087432263105710639e+01,4.069621803232835333e+01,8.462605272176814353e+00,1.147247022957829365e+01
2.189999985694885254e+01,1.093019499199297684e+01,4.062464219831600332e+01,8.679223786228369875e+00,1.100586568523289088e+01
2.200000000000000000e+01,1.114529865463699743e+01,4.106649549321641501e+01,9.087804401978003099e+00,1.129711507386464930e+01
2.209999990463256836e+01,1.130925712732003419e+01,4.159883826734317580e+01,8.173282370104137939e+00,9.900848407814237362e+00
2.219999980926513672e+01,1.147828518889442506e+01,4.199614362706066117e+01,9.427602567466550454e+00,1.173387667959369196e+01
2.229999995231628418e+01,1.163304450632232268e+01,4.266561031281025151e+01,9.181898893966856434e+00,1.043241634432322762e+01
2.239999985694885254e+01,1.197678269164674170e+01,4.351423594927577199e+01,9.857074648660738347e+00,1.340298959316043792e+01
2.250000000000000000e+01,6.641947663104804001e+00,3.603037725939390157e+01,7.478243838896505125e+00,9.842539604826315625e+00
2.259999990463256836e+01,6.743082870965018571e+00,3.631267826961668987e+01,7.826280822613822075e+00,9.905454737899431095e+00
2.269999980926513672e+01,6.778248553352000272e+00,3.644276600652917608e+01,7.391090526498448554e+00,8.388201139066094214e+00
2.279999995231628418e+01,6.815595438322823441e+00,3.630154144211263656e+01,8.182663688344558039e+00,8.857993116627802976e+00
